"Sample_Id","Sex","Season","Seasonsex","x","y","Month","Plotname","Shannon","level","lon","lat"
9001,"Male","Spring","MaleSpring",628595.6032,3436332.539,"Feb","Site_A",2.574254,"Genus",34.347482,30.985866
9002,"Male","Spring","MaleSpring",627918.2031,3432722.855,"Feb","Site_B",0.90971,"Genus",34.339927,30.953317
9003,"Male","Spring","MaleSpring",626555.8891,3431916.058,"Feb","Site_B",2.984213,"Genus",34.325556,30.946042
9004,"Male","Spring","MaleSpring",626688.5426,3432399.804,"Feb","Site_B",1.375762,"Genus",34.327006,30.950404
9005,"Male","Spring","MaleSpring",621209.0302,3430408.04,"March","Site_C",0.816576,"Genus",34.269372,30.932444
9006,"Male","Spring","MaleSpring",629005.6108,3443949.262,"March","Site_D",2.70673,"Genus",34.352753,31.054547
9007,"Male","Spring","MaleSpring",628780.0321,3443944.715,"March","Site_D",2.87899,"Genus",34.350387,31.054506
9008,"Male","Spring","MaleSpring",629696.8647,3444837.571,"March","Site_D",1.575321,"Genus",34.360116,31.062557
9009,"Male","Spring","MaleSpring",628358.519,3443630.979,"March","Site_D",2.672641,"Genus",34.345927,31.051677
9010,"Male","Spring","MaleSpring",619262.3308,3446285.703,"March","Site_E",1.528973,"Genus",34.250862,31.075615
9011,"Male","Spring","MaleSpring",619348.4246,3446210.07,"March","Site_E",0.530551,"Genus",34.251756,31.074933
9012,"Male","Spring","MaleSpring",620004.8581,3444962.888,"March","Site_E",2.117291,"Genus",34.258492,31.063687
9013,"Male","Spring","MaleSpring",620802.6718,3444857.311,"March","Site_E",0.769149,"Genus",34.266846,31.062735
9014,"Male","Spring","MaleSpring",620076.5416,3431007.343,"March","Site_C",1.204692,"Genus",34.257583,30.937848
9015,"Male","Spring","MaleSpring",621869.1764,3429631.629,"March","Site_C",2.266463,"Genus",34.276192,30.925443
9016,"Male","Spring","MaleSpring",619266.3852,3444923.852,"March","Site_E",2.421072,"Genus",34.250743,31.063335
9017,"Male","Spring","MaleSpring",619344.1708,3444664.789,"March","Site_E",2.260081,"Genus",34.251528,31.060999
9018,"Male","Spring","MaleSpring",619615.8725,3445486.669,"March","Site_E",2.548513,"Genus",34.254475,31.06841
9019,"Male","Spring","MaleSpring",620948.784,3445936.036,"March","Site_E",1.051053,"Genus",34.268508,31.072462
9020,"Male","Spring","MaleSpring",619985.5726,3445182.914,"March","Site_E",1.348673,"Genus",34.258316,31.065671
9021,"Male","Spring","MaleSpring",620133.721,3446298.901,"March","Site_E",2.172184,"Genus",34.260003,31.075734
9022,"Male","Spring","MaleSpring",629154.0366,3434498.253,"March","Site_F",2.720563,"Genus",34.353099,30.969326
9023,"Male","Spring","MaleSpring",630025.9151,3433655.968,"March","Site_F",2.314934,"Genus",34.362125,30.961731
9024,"Male","Spring","MaleSpring",628862.9547,3443354.838,"March","Site_D",1.753433,"Genus",34.351181,31.049187
9025,"Male","Spring","MaleSpring",628092.4961,3444616.326,"March","Site_D",1.196482,"Genus",34.343263,31.060562
9026,"Male","Spring","MaleSpring",628039.9961,3445107.724,"March","Site_D",2.852862,"Genus",34.342775,31.064993
9027,"Male","Spring","MaleSpring",628967.7778,3444500.99,"March","Site_D",2.567766,"Genus",34.352427,31.059522
9028,"Male","Spring","MaleSpring",628602.7282,3443022.804,"March","Site_D",1.472954,"Genus",34.34841,31.046193
9029,"Male","Spring","MaleSpring",628722.4965,3443876.845,"March","Site_D",1.013066,"Genus",34.349775,31.053894
9030,"Male","Spring","MaleSpring",621711.9169,3429530.044,"March","Site_C",1.742014,"Genus",34.274533,30.924527
9031,"Male","Spring","MaleSpring",621588.5527,3430103.397,"March","Site_C",2.21626,"Genus",34.27331,30.929697
9032,"Male","Spring","MaleSpring",620380.9886,3430304.903,"March","Site_C",2.348234,"Genus",34.260688,30.931514
9033,"Male","Spring","MaleSpring",628921.8149,3437364.686,"March","Site_A",1.290624,"Genus",34.351032,30.995173
9034,"Male","Spring","MaleSpring",629039.2515,3436929.181,"March","Site_A",0.785424,"Genus",34.352207,30.991246
9035,"Male","Spring","MaleSpring",627111.6091,3430668.766,"March","Site_B",2.5095,"Genus",34.33122,30.934795
9036,"Male","Spring","MaleSpring",627410.3412,3431125.008,"March","Site_B",0.764831,"Genus",34.334406,30.938909
9037,"Male","Spring","MaleSpring",626837.9387,3431675.072,"March","Site_B",1.326941,"Genus",34.32848,30.943869
9038,"Male","Spring","MaleSpring",626466.7297,3431634.926,"March","Site_B",0.520556,"Genus",34.324587,30.943507
9039,"Male","Spring","MaleSpring",627235.7708,3431199.2,"March","Site_B",1.711617,"Genus",34.332587,30.939578
9040,"Male","Spring","MaleSpring",627245.5105,3431270.731,"March","Site_B",1.32859,"Genus",34.332698,30.940223
9041,"Male","Spring","MaleSpring",627936.0824,3431732.186,"March","Site_B",2.602058,"Genus",34.339989,30.944384
9042,"Male","Spring","MaleSpring",627396.4189,3432148.172,"March","Site_B",1.428219,"Genus",34.334389,30.948135
9043,"Male","Spring","MaleSpring",620792.02,3429755.615,"March","Site_C",2.570542,"Genus",34.264927,30.926561
9044,"Male","Spring","MaleSpring",620141.4803,3431082.201,"March","Site_C",0.976866,"Genus",34.258272,30.938523
9045,"Male","Spring","MaleSpring",620152.1885,3431215.724,"March","Site_C",2.926207,"Genus",34.2584,30.939727
9046,"Male","Spring","MaleSpring",621166.7878,3429575.513,"March","Site_C",0.681399,"Genus",34.26883,30.924937
9047,"Male","Spring","MaleSpring",620404.8131,3429611.001,"March","Site_C",2.184713,"Genus",34.260855,30.925257
