"Sex_X_Season","Trait","Mean","SE"
"Female_Spring","Annual",0.229098,0.008647
"Female_Summer","Annual",0.09277,0.005781
"Male_Spring","Annual",0.654777,0.006866
"Male_Summer","Annual",0.063567,0.004891
"Female_Spring","Chamaephyte",0.105987,0.007054
"Female_Summer","Chamaephyte",0.376031,0.013695
"Male_Spring","Chamaephyte",0.364124,0.019117
"Male_Summer","Chamaephyte",0.54064,0.001363
"Female_Spring","Geophyte",0.514361,0.011539
"Female_Summer","Geophyte",0.060731,0.018506
"Male_Spring","Geophyte",0.542246,0.00516
"Male_Summer","Geophyte",0.690358,0.025564
"Female_Spring","Hemicryptophyte",0.663009,0.002433
"Female_Summer","Hemicryptophyte",0.24321,0.015008
"Male_Spring","Hemicryptophyte",0.844999,0.001616
"Male_Summer","Hemicryptophyte",0.584271,0.013765
"Female_Spring","Phanerophyte",0.381321,0.005105
"Female_Summer","Phanerophyte",0.695267,0.009867
"Male_Spring","Phanerophyte",0.776961,0.013432
"Male_Summer","Phanerophyte",0.318773,0.015009
"Female_Spring","Annual.Perennial_A/P",0.324647,0.021369
"Female_Summer","Annual.Perennial_A/P",0.65939,0.012062
"Male_Spring","Annual.Perennial_A/P",0.684313,0.028607
"Male_Summer","Annual.Perennial_A/P",0.760134,0.01892
"Female_Spring","Annual.Perennial_A",0.667503,0.002416
"Female_Summer","Annual.Perennial_A",0.159503,0.00802
"Male_Spring","Annual.Perennial_A",0.412275,0.009427
"Male_Summer","Annual.Perennial_A",0.791216,0.005187
"Female_Spring","Annual.Perennial_P",0.841025,0.011797
"Female_Summer","Annual.Perennial_P",0.726627,0.001054
"Male_Spring","Annual.Perennial_P",0.30672,0.026292
"Male_Summer","Annual.Perennial_P",0.665644,0.029098
"Female_Spring","saline.soils_1",0.115502,0.00721
"Female_Summer","saline.soils_1",0.347259,0.023333
"Male_Spring","saline.soils_1",0.326786,0.016585
"Male_Summer","saline.soils_1",0.270753,0.029224
"Female_Spring","saline.soils_2",0.772188,0.005951
"Female_Summer","saline.soils_2",0.835564,0.023673
"Male_Spring","saline.soils_2",0.218488,0.029859
"Male_Summer","saline.soils_2",0.015981,0.024916
"Female_Spring","saline.soils_3",0.104473,0.00705
"Female_Summer","saline.soils_3",0.005632,0.024914
"Male_Spring","saline.soils_3",0.623006,0.020868
"Male_Summer","saline.soils_3",0.552928,0.026695
"Female_Spring","affinity.to.disturbed.areas_1",0.328254,0.000371
"Female_Summer","affinity.to.disturbed.areas_1",0.281782,0.015063
"Male_Spring","affinity.to.disturbed.areas_1",0.633928,0.029248
"Male_Summer","affinity.to.disturbed.areas_1",0.233676,0.012043
"Female_Spring","affinity.to.disturbed.areas_2",0.187597,0.011969
"Female_Summer","affinity.to.disturbed.areas_2",0.300495,0.007592
"Male_Spring","affinity.to.disturbed.areas_2",0.035645,0.025536
"Male_Summer","affinity.to.disturbed.areas_2",0.665954,0.024497
"Female_Spring","affinity.to.disturbed.areas_3",0.479365,0.002295
"Female_Summer","affinity.to.disturbed.areas_3",0.087876,0.026666
"Male_Spring","affinity.to.disturbed.areas_3",0.759209,0.005941
"Male_Summer","affinity.to.disturbed.areas_3",0.2185,0.015619
"Female_Spring","affinity.to.disturbed.areas_4",0.247834,0.014362
"Female_Summer","affinity.to.disturbed.areas_4",0.115201,0.026949
"Male_Spring","affinity.to.disturbed.areas_4",0.692602,0.01179
"Male_Summer","affinity.to.disturbed.areas_4",0.187667,0.021398
"Female_Spring","affinity.to.disturbed.areas_5",0.286167,0.00464
"Female_Summer","affinity.to.disturbed.areas_5",0.639503,0.015074
"Male_Spring","affinity.to.disturbed.areas_5",0.830578,0.010461
"Male_Summer","affinity.to.disturbed.areas_5",0.412297,0.018702
"Female_Spring","includes.non.native.species_1",0.323809,0.003107
"Female_Summer","includes.non.native.species_1",0.59426,0.012909
"Male_Spring","includes.non.native.species_1",0.586317,0.027716
"Male_Summer","includes.non.native.species_1",0.823751,0.029228
"Female_Spring","Spininess",0.021508,0.008156
"Female_Summer","Spininess",0.613223,0.012685
"Male_Spring","Spininess",0.048087,0.003266
"Male_Summer","Spininess",0.341505,0.021633
"Female_Spring","Succulence",0.275693,0.017661
"Female_Summer","Succulence",0.330485,0.016691
"Male_Spring","Succulence",0.142659,0.020284
"Male_Summer","Succulence",0.209802,0.029052
"Female_Spring","Common_overall_1",0.070848,0.013887
"Female_Summer","Common_overall_1",0.074011,0.011349
"Male_Spring","Common_overall_1",0.623378,0.013359
"Male_Summer","Common_overall_1",0.490735,0.012942
"Female_Spring","Common_overall_2",0.784074,0.012898
"Female_Summer","Common_overall_2",0.181215,1.1e-05
"Male_Spring","Common_overall_2",0.783639,0.029097
"Male_Summer","Common_overall_2",0.666924,0.022648
"Female_Spring","Common_overall_3",0.846566,0.018421
"Female_Summer","Common_overall_3",0.214348,0.017205
"Male_Spring","Common_overall_3",0.766289,0.019764
"Male_Summer","Common_overall_3",0.539142,0.003091
"Female_Spring","Common_overall_4",0.243133,0.014581
"Female_Summer","Common_overall_4",0.175771,0.00669
"Male_Spring","Common_overall_4",0.701556,0.000169
"Male_Summer","Common_overall_4",0.81071,0.024988
"Female_Spring","Common_Here_1",0.429933,0.004723
"Female_Summer","Common_Here_1",0.525914,0
"Male_Spring","Common_Here_1",0.213572,0.006951
"Male_Summer","Common_Here_1",0.142927,0.006371
"Female_Spring","Common_Here_2",0.344221,0.010433
"Female_Summer","Common_Here_2",0.482322,0.012402
"Male_Spring","Common_Here_2",0.10177,0.018313
"Male_Summer","Common_Here_2",0.698131,0.017742
"Female_Spring","Common_Here_3",0.244395,0.003843
"Female_Summer","Common_Here_3",0.657914,0.021602
"Male_Spring","Common_Here_3",0.290539,0.029465
"Male_Summer","Common_Here_3",0.146473,0.00404
"Female_Spring","Common_Here_4",0.135575,0.022615
"Female_Summer","Common_Here_4",0.096002,0.029118
"Male_Spring","Common_Here_4",0.052373,0.014867
"Male_Summer","Common_Here_4",0.800929,0.018787
